Species,Island,Clutch Completion,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Adelie penguin,Torgersen,Yes,B,C,A,B,FEMALE,D,E
Adelie penguin,Torgersen,Yes,B,D,B,A,FEMALE,B,D
Adelie penguin,Torgersen,Yes,A,E,B,A,FEMALE,C,D
Adelie penguin,Torgersen,Yes,B,E,B,B,MALE,C,D
Adelie penguin,Torgersen,No,B,C,A,B,FEMALE,D,D
Adelie penguin,Torgersen,No,B,E,B,D,MALE,E,D
Adelie penguin,Torgersen,Yes,B,E,B,C,MALE,D,D
Adelie penguin,Torgersen,Yes,A,C,A,A,MALE,C,D
Adelie penguin,Torgersen,Yes,A,E,C,D,MALE,C,D
Adelie penguin,Torgersen,Yes,B,E,B,A,FEMALE,D,D
Adelie penguin,Torgersen,Yes,C,E,C,D,MALE,C,D
Adelie penguin,Torgersen,Yes,A,D,A,A,FEMALE,B,D
Adelie penguin,Biscoe,Yes,A,D,A,A,FEMALE,C,D
Adelie penguin,Biscoe,Yes,A,D,A,B,MALE,C,D
Adelie penguin,Biscoe,Yes,A,E,A,B,FEMALE,D,D
Adelie penguin,Biscoe,Yes,A,D,A,C,MALE,B,D
Adelie penguin,Biscoe,Yes,B,C,A,B,MALE,E,D
Adelie penguin,Biscoe,Yes,A,D,A,B,FEMALE,D,E
Adelie penguin,Biscoe,Yes,B,D,A,B,MALE,D,D
Adelie penguin,Biscoe,Yes,B,C,A,A,FEMALE,A,D
Adelie penguin,Biscoe,No,B,D,A,C,MALE,D,D
Adelie penguin,Dream,Yes,B,C,A,A,FEMALE,E,D
Adelie penguin,Dream,Yes,A,D,A,C,MALE,E,D
Adelie penguin,Dream,Yes,B,C,A,A,FEMALE,E,D
Adelie penguin,Dream,Yes,B,D,A,C,MALE,C,D
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,D,D
Adelie penguin,Dream,Yes,B,E,C,C,MALE,D,D
Adelie penguin,Dream,Yes,B,E,B,C,MALE,D,D
Adelie penguin,Dream,Yes,C,D,A,B,FEMALE,A,D
Adelie penguin,Dream,No,A,E,A,A,FEMALE,E,D
Adelie penguin,Dream,Yes,A,D,A,A,FEMALE,E,E
Adelie penguin,Dream,Yes,A,D,A,A,FEMALE,E,D
Adelie penguin,Dream,Yes,C,E,C,D,MALE,D,E
Adelie penguin,Dream,Yes,A,C,A,A,FEMALE,E,D
Adelie penguin,Dream,Yes,B,D,B,D,MALE,E,E
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,E,D
Adelie penguin,Dream,Yes,C,E,B,C,MALE,D,D
Adelie penguin,Biscoe,Yes,B,C,A,A,FEMALE,B,B
Adelie penguin,Biscoe,Yes,B,D,A,C,MALE,C,A
Adelie penguin,Biscoe,Yes,A,C,B,A,FEMALE,A,B
Adelie penguin,Biscoe,Yes,B,E,C,C,MALE,B,B
Adelie penguin,Biscoe,Yes,A,D,A,A,FEMALE,B,A
Adelie penguin,Biscoe,Yes,B,D,B,B,MALE,B,B
Adelie penguin,Biscoe,Yes,B,C,A,B,FEMALE,C,C
Adelie penguin,Biscoe,Yes,B,D,B,B,MALE,C,C
Adelie penguin,Biscoe,Yes,A,B,A,A,FEMALE,D,C
Adelie penguin,Biscoe,Yes,A,E,B,B,MALE,D,C
Adelie penguin,Biscoe,Yes,A,C,A,A,FEMALE,D,B
Adelie penguin,Biscoe,Yes,B,E,B,D,MALE,C,B
Adelie penguin,Biscoe,Yes,A,C,A,B,FEMALE,C,B
Adelie penguin,Biscoe,Yes,B,D,B,C,MALE,C,A
Adelie penguin,Biscoe,Yes,A,C,A,A,FEMALE,C,B
Adelie penguin,Biscoe,Yes,B,D,B,C,MALE,C,B
Adelie penguin,Biscoe,Yes,A,B,B,A,FEMALE,C,C
Adelie penguin,Biscoe,Yes,B,E,A,C,MALE,C,C
Adelie penguin,Torgersen,No,A,B,B,A,FEMALE,B,C
Adelie penguin,Torgersen,No,B,E,C,D,MALE,D,C
Adelie penguin,Torgersen,Yes,A,E,B,B,FEMALE,A,A
Adelie penguin,Torgersen,Yes,B,D,B,C,MALE,E,D
Adelie penguin,Torgersen,Yes,B,C,C,B,FEMALE,B,A
Adelie penguin,Torgersen,Yes,C,D,C,C,MALE,A,A
Adelie penguin,Torgersen,Yes,A,C,B,B,FEMALE,C,B
Adelie penguin,Torgersen,Yes,C,D,B,C,MALE,B,B
Adelie penguin,Torgersen,Yes,B,C,B,B,FEMALE,B,C
Adelie penguin,Torgersen,Yes,A,E,A,C,MALE,B,A
Adelie penguin,Torgersen,Yes,A,B,A,B,FEMALE,A,A
Adelie penguin,Torgersen,Yes,B,E,B,C,MALE,D,C
Adelie penguin,Torgersen,Yes,A,C,A,A,FEMALE,A,A
Adelie penguin,Torgersen,Yes,C,C,C,D,MALE,C,B
Adelie penguin,Torgersen,Yes,A,D,A,B,FEMALE,A,B
Adelie penguin,Torgersen,Yes,A,E,B,C,MALE,D,A
Adelie penguin,Dream,Yes,A,C,B,A,FEMALE,B,B
Adelie penguin,Dream,Yes,B,E,B,B,MALE,D,B
Adelie penguin,Dream,Yes,A,E,B,B,MALE,C,B
Adelie penguin,Dream,Yes,A,D,A,A,FEMALE,C,C
Adelie penguin,Dream,Yes,A,E,A,C,MALE,D,B
Adelie penguin,Dream,Yes,B,D,B,B,FEMALE,B,B
Adelie penguin,Dream,Yes,A,D,C,B,FEMALE,B,C
Adelie penguin,Dream,Yes,B,D,D,C,MALE,C,C
Adelie penguin,Dream,Yes,A,C,A,A,FEMALE,A,A
Adelie penguin,Dream,Yes,B,D,A,D,MALE,C,B
Adelie penguin,Dream,Yes,A,C,A,A,FEMALE,D,B
Adelie penguin,Dream,Yes,B,D,D,C,MALE,B,A
